
"What is the capital of Egypt" , 1 -> Cairo , 2 -> Qutayfah , 3 -> syria , 4 -> Beirut

"1 + 1 =" , 1 -> 11 , 2 -> 2 , 3 -> 1 , 4 -> 5

"The number of pages the Qur'an" , 1 -> 100 , 2 -> 540 , 3 -> 504 , 4 -> 604

"lamborghini logo is" , 1 -> Rabbit , 2 -> cat , 3 -> bull , 4 -> Horse

"The first man to convert to Islam" , 1 -> AboBakr , 2 -> Othman , 3 -> Omar , 4 -> Ali

"The tallest tower in the world" , 1 -> Burj Al_Arab , 2 -> Dubai , 3 -> Pisa , 4 -> Eiffel 

"How many people on earth" , 1 -> 8 billion , 2 -> 6 billion , 3 -> 5 billion , 4 -> 9 billion

"What is the biggest animal" , 1 -> elephant , 2 -> 6 lion , 3 -> 5 monkey , 4 -> 9 whale
